City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
249,Gohad,IN,26.4261,78.4447,76.95,85,86,12.35,overcast clouds
250,Port-Gentil,GA,-0.7193,8.7815,85.96,66,75,18.41,broken clouds
251,Sungaipenuh,ID,-2.0833,101.3833,63.64,99,100,2.68,overcast clouds
252,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,87,75,4.47,light intensity shower rain
253,Forestville,US,38.8451,-76.875,62.67,80,0,8.05,clear sky
254,Flin Flon,CA,54.7682,-101.865,30.04,64,100,2.3,overcast clouds
255,Nantucket,US,41.2835,-70.0995,62.74,98,100,13.8,mist
256,Coquimbo,CL,-29.9533,-71.3436,60.53,58,0,2.3,clear sky
257,Bengkulu,ID,-3.8004,102.2655,74.08,95,100,12.28,heavy intensity rain
258,Prieska,ZA,-29.6641,22.7474,88.75,4,11,16.11,few clouds
259,Awbari,LY,26.5921,12.7805,84.6,28,0,11.63,clear sky
260,Phayao,TH,19.25,100.25,72.27,96,82,2.37,broken clouds
261,Vostok,RU,46.4856,135.8833,27.57,67,7,5.73,clear sky
262,Aykhal,RU,66.0,111.5,7.75,100,85,4.05,overcast clouds
263,Ostrovnoy,RU,68.0531,39.5131,46.89,82,100,32.21,light rain
264,Katsuura,JP,35.1333,140.3,60.71,86,100,18.5,light rain
265,Wanxian,CN,30.8039,108.3897,55.56,94,100,5.39,overcast clouds
266,Tomatlan,MX,19.9333,-105.25,70.72,92,39,3.15,scattered clouds
267,Wajima,JP,37.4,136.9,61.84,68,66,16.6,broken clouds
268,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,94,75,16.11,broken clouds
269,Mmabatho,ZA,-25.85,25.6333,93.16,16,0,9.22,clear sky
270,Erenhot,CN,43.6475,111.9767,47.98,19,0,7.94,clear sky
271,Batsfjord,NO,70.6345,29.7185,46.33,93,75,31.07,light rain
272,Ixtapa,MX,20.7,-105.2,74.43,94,75,4.61,broken clouds
273,Gejiu,CN,23.306,103.1635,55.42,95,13,3.76,few clouds
274,Touros,BR,-5.1989,-35.4608,85.06,60,0,13.58,clear sky
275,Robertsport,LR,6.7533,-11.3686,79.65,79,100,6.49,light rain
276,Mount Gambier,AU,-37.8333,140.7667,51.1,97,100,5.3,overcast clouds
277,Saint Anthony,US,45.0205,-93.218,53.65,80,0,13.8,clear sky
278,Anito,PH,12.4497,125.2886,79.47,87,100,5.12,overcast clouds
279,Raglan,NZ,-37.8,174.8833,37.44,56,2,1.63,clear sky
280,Gushikawa,JP,26.3544,127.8686,79.83,83,0,4.61,clear sky
281,Moussoro,TD,13.6408,16.4901,101.62,13,14,9.42,few clouds
